Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Commercial status,IUCN status,Oceanographic province,Method type,Year of collection,Publication year,Reference,Polymer identification,Blanks used,Clean lab procedures,Size detection threshold (mm),Degree of prior sampling,Plastic FO in PICES region,Residency,Distribution in PICES region,Distribution globally,Already an indicator?,Threat of human exposure,Total bioindicator score,Notes
Symbolophorus evermanni,Evermann's lanternfish,Myctophiformes,Myctophidae,3.5,1,14,0.071428571,NA,bathypelagic,,Not assessed,NPTG,1,Feb. -April 2007,2013,Van Noord 2013,none,NA,NA,NA,2,2,4,4,4,2,1,19,
Harpadon nehereus,Bombay duck,Aulopiformes,Synodontidae,4.2,NA,30,NA,0.5,benthopelagic,,Not assessed,CHIN,3,September of 2017,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,3,3,4,1,3,2,3,19,Are these eaten whole? Should check
Sebastiscus marmoratus,False kelpfish,Scorpaeniformes,Sebastidae,3.7,3,3,1,3.5,demersal,,Not assessed,CHIN,3,18-Jan,2019,Zhang et al. 2019,FTIR,lab blank,yes,0.0016,2,4,4,1,3,2,3,19,
Anchoviella commersonii,Commerson's anchovy,Clupeiformes,Engraulidae,3.1,10,30,0.33,0.4,pelagic-neritic,,LC,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,2,3,4,1,3,2,4,19,
Engraulis japonicus,Japanese anchovy,Clupeiformes,Engraulidae,3.1,92,280,0.33,0.39,pelagic-neritic,,LC,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,4,4,4,1,2,4,,19,
Gadus macrocephalus,Pacific cod,Gadiformes,Gadidae,4.2,16,40,0.4,0.43,demersal,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,2,3,4,2,3,2,3,19,
Pholis fangi,NA,Perciformes,Pholidae,3.2,27,79,0.38,0.48,demersal,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,3,3,4,1,3,2,3,19,
Psenopsis anomala,Pacific rudderfish,Perciformes,Centrolophidae,4,2,10,0.2,0.2,benthopelagic,,LC,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,3,3,4,1,3,2,3,19,
Zoarces elongatus,Eastern viviparous blenny,Perciformes,Zoarcidae,3.2,182,280,0.65,0.8,demersal,,Not assessed,CHIN,3,Summer 2016,2019,Zhao et al. 2019,FTIR,lab blank,yes,0.00045,4,4,4,1,3,2,1,19,
Pseudosciaena polyactis,Yellow croaker,Perciformes,Sciaenidae,3.7,10,10,1,2.4,benthopelagic,,Not assessed,CHIN,3,2017,2019,Ding et al. 2019a,FTIR,lab blank,yes,7.00E-04,2,4,4,1,3,2,3,19,
Pleuronichthys cornutus,Ridged-eye flounder,Pleuronectiformes,Pleuronectidae,3.2,9,10,0.9,3.9,demersal,,Not assessed,CHIN,3,2017,2019,Ding et al. 2019a,FTIR,lab blank,yes,7.00E-04,2,4,4,1,3,2,3,19,
Sebastes schlegeli,Korean rockfish,Scorpaeniformes,Sebastidae,3.8,9,10,0.9,2.3,demersal,,Not assessed,CHIN,3,2017,2019,Ding et al. 2019a,FTIR,lab blank,yes,7.00E-04,2,4,4,1,3,2,3,19,
